Card,Set ID,Set Name,Quantity,Foil
Absorb,RNA,Ravnica Allegiance,1,""
Ajani's Pridemate,M19,Core Set 2019,1,FOIL
"Ajani, Adversary of Tyrants",M19,Core Set 2019,2,""
Alpine Moon,PRM-PRE,Prerelease Cards,1,FOIL
Angelic Arbiter,M11,Magic 2011,1,FOIL
Angelic Exaltation,RNA,Ravnica Allegiance,1,""
Angelic Overseer,ISD,Innistrad,1,""
Apex of Power,M19,Core Set 2019,1,""
Applied Biomancy,RNA,Ravnica Allegiance,2,""
"Arcades, the Strategist",M19,Core Set 2019,1,""
Archway Angel,RNA,Ravnica Allegiance,1,""
Arrester's Admonition,RNA,Ravnica Allegiance,1,""
Azorius Guildgate,RNA,Ravnica Allegiance,1,""
Azorius Guildgate,RNA,Ravnica Allegiance,1,""
Azorius Skyguard,RNA,Ravnica Allegiance,1,""
Bankrupt in Blood,RNA,Ravnica Allegiance,2,""
Basilica Bell-Haunt,RNA,Ravnica Allegiance,2,""
Bedevil,RNA,Ravnica Allegiance,1,FOIL
Blanchwood Armor,M19,Core Set 2019,1,FOIL
Blood Operative,GRN,Guilds of Ravnica,1,FOIL
Bloodmist Infiltrator,RNA,Ravnica Allegiance,1,""
Boggart Brute,M19,Core Set 2019,1,FOIL
Breeding Pool,RNA,Ravnica Allegiance,1,""
Burning-Tree Vandal,RNA,Ravnica Allegiance,1,FOIL
Carnival // Carnage,RNA,Ravnica Allegiance,1,""
Cavalcade of Calamity,RNA,Ravnica Allegiance,1,""
Chakram Retriever,PRM-LPC,Launch Party Cards,1,FOIL
Chakram Slinger,PRM-LPC,Launch Party Cards,1,FOIL
Chandra's Spitfire,M11,Magic 2011,1,FOIL
Cindervines,RNA,Ravnica Allegiance,1,""
Clamor Shaman,RNA,Ravnica Allegiance,1,""
Code of Constraint,RNA,Ravnica Allegiance,3,""
Collision // Colossus,RNA,Ravnica Allegiance,1,""
Combine Guildmage,RNA,Ravnica Allegiance,2,""
Consecrate // Consume,RNA,Ravnica Allegiance,2,""
Crucible of Worlds,M19,Core Set 2019,1,""
Cult Guildmage,RNA,Ravnica Allegiance,1,""
Curator of Mysteries,AKH,Amonkhet,1,FOIL
Curious Obsession,RIX,Rivals of Ixalan,2,FOIL
Dagger Caster,RNA,Ravnica Allegiance,1,""
Darigaaz Reincarnated,DOM,Dominaria,1,""
Demonlord Belzenlok,PRM-PRE,Prerelease Cards,1,FOIL
Do-It-Yourself Seraph,UST,Unstable,1,""
"Dovin, Grand Arbiter",RNA,Ravnica Allegiance,1,""
Drill Bit,RNA,Ravnica Allegiance,1,""
Enraged Ceratok,RNA,Ravnica Allegiance,2,""
Erstwhile Trooper,GRN,Guilds of Ravnica,1,FOIL
"Estrid, the Masked",C18,Commander 2018,1,FOIL
Expose to Daylight,RNA,Ravnica Allegiance,1,""
Fall of the Thran,PRM-PRE,Prerelease Cards,1,FOIL
Feral Maaka,RNA,Ravnica Allegiance,1,FOIL
Forbidding Spirit,RNA,Ravnica Allegiance,1,""
Forest,KLD,Kaladesh,1,FOIL
Fraying Omnipotence,M19,Core Set 2019,1,FOIL
Gatebreaker Ram,RNA,Ravnica Allegiance,1,""
Gateway Plaza,RNA,Ravnica Allegiance,3,""
Gateway Sneak,RNA,Ravnica Allegiance,1,""
Godless Shrine,RNA,Ravnica Allegiance,2,""
Golden Guardian,RIX,Rivals of Ixalan,1,FOIL
Golgari Guildgate,GRN,Guilds of Ravnica,1,""
Grave Titan,M11,Magic 2011,1,""
Growth Spiral,RNA,Ravnica Allegiance,1,""
